"TRANSACTION_DATE","RECEIPT_NUMBER","SHORTCODE","AMOUNT","BRAND","REASON_TYPE","TRANSACTION_TYPE"
"20260706103825","04204500037303146945","00123971",10000,"3ID",12134,
"20260706193301","04204600037314793286","00123971",5000,"3ID",12263,
"20260706233114","04204400037318887534","00123971",10000,"3ID",12134,
"20260706112643","04204900037304315599","00123971",10000,"3ID",12134,
"20260706085854","04204800037300904238","00123971",10000,"3ID",12134,
"20260706100831","04204800037302430898","00123971",10000,"3ID",12134,
"20260706163304","04204700037310811227","00123971",10000,"3ID",12134,
"20260706174625","04204800037312268818","00123971",5000,"3ID",12263,
